run_key,method,representation,k,seed,eps,min_samples,linkage,seconds,inertia,n_clusters,noise_ratio,silhouette,purity,nmi,rand_index,clustered_points,valid_dbscan_score
DBSCAN | Sentence embedding | eps=0.15 | min_samples=5,DBSCAN,Sentence embedding,,,0.15,5.0,,0.0019981861114501953,,1,0.99375,,,,,5.0,False
DBSCAN | Sentence embedding | eps=0.15 | min_samples=10,DBSCAN,Sentence embedding,,,0.15,10.0,,0.0020008087158203125,,0,1.0,,,,,0.0,False
DBSCAN | Sentence embedding | eps=0.2 | min_samples=5,DBSCAN,Sentence embedding,,,0.2,5.0,,0.002003192901611328,,2,0.9825,,,,,14.0,False
DBSCAN | Sentence embedding | eps=0.2 | min_samples=10,DBSCAN,Sentence embedding,,,0.2,10.0,,0.0009999275207519531,,0,1.0,,,,,0.0,False
DBSCAN | Sentence embedding | eps=0.25 | min_samples=5,DBSCAN,Sentence embedding,,,0.25,5.0,,0.0019998550415039062,,4,0.96,,,,,32.0,False
DBSCAN | Sentence embedding | eps=0.25 | min_samples=10,DBSCAN,Sentence embedding,,,0.25,10.0,,0.001001119613647461,,0,1.0,,,,,0.0,False
DBSCAN | Sentence embedding | eps=0.3 | min_samples=5,DBSCAN,Sentence embedding,,,0.3,5.0,,0.0019998550415039062,,11,0.785,,,,,172.0,False
DBSCAN | Sentence embedding | eps=0.3 | min_samples=10,DBSCAN,Sentence embedding,,,0.3,10.0,,0.0019991397857666016,,4,0.91875,,,,,65.0,False
DBSCAN | Sentence embedding | eps=0.35 | min_samples=10,DBSCAN,Sentence embedding,,,0.35,10.0,,0.0019979476928710938,,1,0.43374999999999997,,,,,453.0,False
DBSCAN | Sentence embedding | eps=0.4 | min_samples=5,DBSCAN,Sentence embedding,,,0.4,5.0,,0.0030045509338378906,,1,0.04874999999999996,,,,,761.0,False
DBSCAN | Sentence embedding | eps=0.4 | min_samples=10,DBSCAN,Sentence embedding,,,0.4,10.0,,0.0029959678649902344,,1,0.05874999999999997,,,,,753.0,False
